1|1771717319361|Corebook::GI::stomach::gastroparesis|mechanism|Q: How does diabetic autonomic neuropathy produce the atonic stomach seen on imaging?|A: Chronic hyperglycemia causes vagal autonomic neuropathy. Vagal dysfunction impairs gastric smooth muscle stimulation. Loss of coordinated antral contractions reduces propulsion of gastric contents. Functional stasis leads to retained food and contrast. This results in a dilated, atonic stomach on imaging.
2|1771904372299|Corebook::GI::colon::appendicitis|boardsTrap|Q: Why can retrocecal appendicitis produce atypical exam findings?|A: The inflamed portion (often the tip) can lie away from the classic RLQ/McBurney point, shifting maximal tenderness.
3|1771904372306|Corebook::GI::colon::appendicitis|mechanism|Q: Why can the site of maximal tenderness be misleading in appendicitis?|A: The inflamed portion (often the tip) may lie distant from the cecal tip, shifting pain localization.
4|1772322556568|Corebook::GI::Peritoneum, Mesentery, and Abdominal Wall::Portal Hypertension and varices|highYield|Q: What does hepatofugal portal vein flow indicate?|A: Reversal of portal flow consistent with advanced portal hypertension.
5|1772322556569|Corebook::GI::Peritoneum, Mesentery, and Abdominal Wall::Portal Hypertension and varices|highYield|Q: What is cavernous transformation of the portal vein?|A: Network of collateral venous channels replacing chronically thrombosed portal vein. example of case Cavernous transformation of portal vein | Radiology Case | Radiopaedia.org
6|1772326647012|Corebook::GI::Peritoneum, Mesentery, and Abdominal Wall::pneumoperitoneum|mechanism|Q: How can positive-pressure ventilation produce pneumoperitoneum?|A: Positive-pressure ventilation can lead to alveolar rupture with thoracic air (e.g., pneumothorax/pneumomediastinum); gas can dissect along tissue planes into the retroperitoneum and/or peritoneal cavity, producing pneumoperitoneum.
7|1772326647013|Corebook::GI::Peritoneum, Mesentery, and Abdominal Wall::pneumoperitoneum|mechanism|Q: Why can pneumatosis cystoides intestinalis cause pneumoperitoneum in an asymptomatic patient?|A: Cystic intramural gas collections can rupture, releasing gas into the peritoneal cavity; despite a concerning CT appearance, the underlying process can be benign and patients may be asymptomatic.
8|1772455545186|Corebook::GI::Small bowel::smal bowel obstruction|highYield|Q: In SBO, what imaging diagnosis is crucial because it directs prompt surgical intervention?|A: CT diagnosis of closed-loop obstruction or strangulating (ischemic) SBO is crucial because these represent complicated obstruction with vascular compromise risk and require prompt surgical intervention rather than conservative management.
9|1772498361515|Corebook::GI::Small bowel::smal bowel obstruction|highYield|Q: What CT pattern suggests internal hernia as a cause of SBO?|A: Cluster of dilated small bowel segments. Crowding, twisting, displacement of mesenteric vessels. Dilated segment entering hernia; collapsed segment leaving hernia. Exam pivot: Mesenteric vessel crowding + clustered loops strongly suggests internal hernia rather than adhesive SBO.
10|1772593403979|Corebook::GI::Small bowel::Ileus|boardsTrap|Q: What diagnostic pitfall is demonstrated here, and what imaging safety check prevents the mistake?|A: Trap: Mistaking ileus with ascites (or recent bowel surgery) for small bowel obstruction (SBO) on plain films. Why it happens: Gas may collect only in nondependent bowel, while dependent small bowel and colon are fluid-filled and less dilated, creating an apparent segmental gas pattern. Safety check: Look for a true transition point or obstructing lesion. If unclear, obtain CT to confirm generalized dilation of small and large bowel without a transition zone. Key discriminator: Mechanical obstruction shows a discrete transition point with upstream dilation; ileus shows proportional dilation without a focal obstructing site.
11|1772797354904|Corebook::GI::colon::diverticulitis|mechanism|Q: How does diverticulitis lead to portal venous thrombophlebitis and hepatic abscess formation?|A: Infected pericolonic veins draining an inflamed diverticular segment become contaminated with enteric bacteria → septic thrombophlebitis develops in mesenteric veins (e.g., inferior mesenteric vein). The infected thrombus propagates through the portal venous system → septic emboli reach the liver → bacteria seed hepatic parenchyma, producing pyogenic liver abscesses visible on CT.
