36-year-old patient with abdominal pain after injury A7K2M9Q4T1XZ	<div class="stackItem"><div class="stackContext">Initial CT image.</div><img src="Splenic_Trauma3.jpg"></div><br><div class="stackItem"><div class="stackContext">Gross pathology specimen from the same patient.</div><img src="Splenic_Trauma4.jpg"></div>	<div class="stackItem"><div class="stackContext">Initial CT image.</div><img src="Splenic_Trauma3_annot.jpg"><div class="stackCap">Axial CECT in a trauma patient demonstrates a shattered spleen with sentinel clot in the perisplenic region <img src="arrow_WC.png">, multiple foci of active extravasation <img src="arrow_WS.png">, and large hemoperitoneum <img src="arrow_WO.png">. Note that the blood around the spleen is higher density than the blood around the liver, suggesting the spleen is the source of this bleeding.</div></div><div class="stackItem"><div class="stackContext">Gross pathology specimen from the same patient.</div><img src="Splenic_Trauma4_annot.jpg"><div class="stackCap">Gross pathology specimen in the same patient demonstrates multiple large defects and lacerations involving much of the spleen, requiring splenectomy in this patient.</div></div>	Most likely diagnosis?	Splenic trauma with shattered spleen and active hemorrhage<br><br>Caption-derived keyword findings:<br>shattered spleen<br>sentinel clot in the perisplenic region<br>multiple foci of active extravasation<br>large hemoperitoneum<br>blood around the spleen is higher density than the blood around the liver<br>multiple large defects and lacerations<br><br>Reasoning: The CT localizes highest-density blood adjacent to the spleen and shows active bleeding with large hemoperitoneum; the same-patient gross specimen confirms extensive structural disruption requiring splenectomy. Core and STATdx both emphasize CT recognition of laceration/hematoma plus active extravasation as the key risk pivot.<br><br>Differential:<br>Splenic infarct<br>Splenic abscess<br>Splenic cleft																	
29-year-old patient with abdominal pain after injury P6R8T2V4W9LA	<div class="stackItem"><div class="stackContext">Initial CT image.</div><img src="Splenic_Trauma5.jpg"></div><br><div class="stackItem"><div class="stackContext">Angiographic image from the same patient.</div><img src="Splenic_Trauma6.jpg"></div>	<div class="stackItem"><div class="stackContext">Initial CT image.</div><img src="Splenic_Trauma5_annot.jpg"><div class="stackCap">Axial CECT in a trauma patient demonstrates a splenic parenchymal laceration and active extravasation of blood <img src="arrow_WS.png"> within the spleen, albeit without substantial perisplenic hematoma.</div></div><div class="stackItem"><div class="stackContext">Angiographic image from the same patient.</div><img src="Splenic_Trauma6_annot.jpg"><div class="stackCap">Frontal angiogram in the same patient demonstrates intrasplenic active extravasation <img src="arrow_BS.png"> and pseudoaneurysms <img src="arrow_BO.png">. Coil embolization occluded the bleeding vessels and the patient remained stable without need for surgery.</div></div>	Most likely diagnosis?	Splenic trauma with parenchymal laceration and vascular injury<br><br>Caption-derived keyword findings:<br>splenic parenchymal laceration<br>active extravasation of blood<br>without substantial perisplenic hematoma<br>intrasplenic active extravasation<br>pseudoaneurysms<br>Coil embolization occluded the bleeding vessels<br><br>Reasoning: The dominant move is to identify that clinically important splenic vascular injury may be intraparenchymal even without a large perisplenic hematoma. Angiography confirms active extravasation and pseudoaneurysms, matching the source emphasis that vascular injury predicts need for intervention.<br><br>Differential:<br>Splenic cleft<br>Splenic infarct<br>Splenic abscess																	
42-year-old patient with abdominal pain after blunt injury J4N7Q2L8Z5XB	<img src="Splenic_Trauma11.jpg"><br><img src="Splenic_Trauma12.jpg">	<div class="stackItem"><img src="Splenic_Trauma11_annot.jpg"><div class="stackCap">Axial CECT shows a shattered spleen following blunt trauma. Note the multiple areas of active arterial extravasation within the poorly enhancing spleen <img src="arrow_WS.png">.</div></div><div class="stackItem"><img src="Splenic_Trauma12_annot.jpg"><div class="stackCap">Axial CECT at a more caudal level in the same patient shows massive arterial extravasation into the peritoneal cavity <img src="arrow_WS.png">. Note the thickened small bowel loops <img src="arrow_WO.png"> and flattened inferior vena cava (IVC) indicating hypoperfusion syndrome.</div></div>	Most likely diagnosis?	Splenic trauma with shattered spleen and intraperitoneal active extravasation<br><br>Caption-derived keyword findings:<br>shattered spleen following blunt trauma<br>multiple areas of active arterial extravasation<br>poorly enhancing spleen<br>massive arterial extravasation into the peritoneal cavity<br>thickened small bowel loops<br>flattened inferior vena cava (IVC)<br><br>Reasoning: This is a high-grade splenic injury pattern: shattered parenchyma plus active arterial extravasation beyond the spleen and into the peritoneum. The associated thickened bowel loops and flattened IVC reinforce the shock/hypoperfusion context described in the caption.<br><br>Differential:<br>Splenic infarct<br>Splenic abscess<br>Splenic mass																	
51-year-old patient with abdominal pain after injury M8C3X6P1Q9TR	<img src="Splenic_Trauma13.jpg"><br><img src="Splenic_Trauma14.jpg">	<div class="stackItem"><img src="Splenic_Trauma13_annot.jpg"><div class="stackCap">Axial CECT shows multiple deep splenic lacerations <img src="arrow_BS.png"> following blunt trauma. Note the small amount of perisplenic blood <img src="arrow_WO.png">.</div></div><div class="stackItem"><img src="Splenic_Trauma14_annot.jpg"><div class="stackCap">Axial CECT in the same patient shows moderate pelvic hemoperitoneum <img src="arrow_WS.png">. Despite hemodynamic stability during the scan, this patient had massive delayed bleeding 24 hours later, requiring urgent surgery.</div></div>	Most likely diagnosis?	Splenic trauma with deep lacerations and delayed hemorrhage risk<br><br>Caption-derived keyword findings:<br>multiple deep splenic lacerations<br>small amount of perisplenic blood<br>moderate pelvic hemoperitoneum<br>hemodynamic stability during the scan<br>massive delayed bleeding 24 hours later<br>requiring urgent surgery<br><br>Reasoning: The teaching point is that apparently stable splenic trauma with modest perisplenic blood can still progress to life-threatening delayed hemorrhage. STATdx explicitly warns that minor-appearing injuries may lead to delayed hemorrhage, and Core notes splenic preservation but requires careful CT risk assessment.<br><br>Differential:<br>Splenic cleft<br>Splenic infarct<br>Splenic abscess																	
44-year-old patient with abdominal pain after injury Q2W7E5R9T1YU	<img src="Splenic_Trauma15.jpg"><br><img src="Splenic_Trauma16.jpg">	<div class="stackItem"><img src="Splenic_Trauma15_annot.jpg"><div class="stackCap">Axial CECT shows a subcapsular hematoma with flattening of the lateral contour of the spleen <img src="arrow_BS.png">.</div></div><div class="stackItem"><img src="Splenic_Trauma16_annot.jpg"><div class="stackCap">Axial CECT at a more caudal level in the same patient demonstrates active arterial extravasation into the subcapsular hematoma <img src="arrow_WS.png">.</div></div>	Most likely diagnosis?	Splenic trauma with subcapsular hematoma and active arterial extravasation<br><br>Caption-derived keyword findings:<br>subcapsular hematoma<br>flattening of the lateral contour of the spleen<br>active arterial extravasation<br>into the subcapsular hematoma<br>more caudal level<br><br>Reasoning: A crescentic subcapsular hematoma compressing the splenic contour is a source-supported hematoma pattern; the separate focus of active arterial extravasation upgrades the case from simple hematoma to vascular injury requiring urgent management consideration.<br><br>Differential:<br>Splenic infarct<br>Splenic cyst<br>Splenic abscess																	
33-year-old patient with abdominal pain after injury B5H8K1M4N9QX	<img src="Splenic_Trauma1.jpg">	<div class="stackItem"><img src="Splenic_Trauma1_annot.jpg"><div class="stackCap">Axial CECT in a trauma patient demonstrates extensive splenic lacerations <img src="arrow_WS.png"> with sites of active extravasation <img src="arrow_BS.png"> along with a laceration in the liver <img src="arrow_WO.png"> and perihepatic hematoma <img src="arrow_WC.png">.</div></div>	Most likely diagnosis?	Splenic trauma with extensive lacerations and active extravasation<br><br>Caption-derived keyword findings:<br>extensive splenic lacerations<br>sites of active extravasation<br>laceration in the liver<br>perihepatic hematoma<br><br>Reasoning: The splenic finding is not isolated: extensive lacerations and active extravasation occur with associated hepatic injury and perihepatic hematoma. The board move is to identify the splenic vascular injury while also searching for additional left upper quadrant or abdominal traumatic injuries.<br><br>Differential:<br>Splenic cleft<br>Splenic infarct<br>Splenic abscess																	
12-year-old patient with abdominal pain after sports injury C9L2P7S4V8ZA	<img src="Splenic_Trauma2.jpg">	<div class="stackItem"><img src="Splenic_Trauma2_annot.jpg"><div class="stackCap">Axial CECT in a pediatric patient hit by a baseball demonstrates a large splenic laceration/fracture <img src="arrow_WO.png"> with perisplenic hematoma <img src="arrow_WS.png">.</div></div>	Most likely diagnosis?	Splenic trauma with large laceration/fracture and perisplenic hematoma<br><br>Caption-derived keyword findings:<br>pediatric patient hit by a baseball<br>large splenic laceration/fracture<br>perisplenic hematoma<br><br>Reasoning: A deep splenic laceration/fracture with adjacent hematoma after blunt impact is the classic CT recognition pattern. Pediatric context matters for management because nonoperative management is preferred when possible, but the diagnostic target remains image-based splenic injury.<br><br>Differential:<br>Splenic cleft<br>Splenic infarct<br>Splenic cyst																	
40-year-old patient with abdominal pain after motor vehicle collision D3F7H9J2K6LM	<img src="Splenic_Trauma7.jpg">	<div class="stackItem"><img src="Splenic_Trauma7_annot.jpg"><div class="stackCap">Axial CECT in a trauma patient after a motor vehicle collision demonstrates a shattered spleen with perisplenic hematoma <img src="arrow_WS.png"> and frank active contrast extravasation <img src="arrow_WO.png">.</div></div>	Most likely diagnosis?	Splenic trauma with shattered spleen and frank active contrast extravasation<br><br>Caption-derived keyword findings:<br>motor vehicle collision<br>shattered spleen<br>perisplenic hematoma<br>frank active contrast extravasation<br><br>Reasoning: This is the classic severe blunt-trauma CT pattern: shattered parenchymal disruption, surrounding hematoma, and frank contrast extravasation. Active arterial bleeding is the key management pivot and a major grading/risk feature.<br><br>Differential:<br>Splenic infarct<br>Splenic abscess<br>Splenic mass																	
37-year-old patient with abdominal pain and chest pain after injury E6G1J4K8N2PR	<img src="Splenic_Trauma8.jpg">	<div class="stackItem"><img src="Splenic_Trauma8_annot.jpg"><div class="stackCap">Coronal CECT in a trauma patient demonstrates a splenic laceration with frank internal extravasation <img src="arrow_WS.png">. Note the additional presence of a left-sided lung contusion <img src="arrow_WO.png"> and left-sided hemothorax <img src="arrow_WC.png">. The presence of splenic injuries should prompt a careful search for other injuries in the left upper quadrant and left chest.</div></div>	Most likely diagnosis?	Splenic trauma with internal extravasation and associated left thoracic injuries<br><br>Caption-derived keyword findings:<br>splenic laceration<br>frank internal extravasation<br>left-sided lung contusion<br>left-sided hemothorax<br>careful search for other injuries<br>left upper quadrant and left chest<br><br>Reasoning: The splenic laceration with frank internal extravasation establishes clinically important splenic trauma. The caption also emphasizes a linked search pattern: splenic injuries should prompt careful evaluation of the left upper quadrant and left chest for associated injuries.<br><br>Differential:<br>Splenic cleft<br>Splenic infarct<br>Splenic abscess																	
45-year-old patient with abdominal pain after injury F8J2L6P9R3ST	<img src="Splenic_Trauma9.jpg">	<div class="stackItem"><img src="Splenic_Trauma9_annot.jpg"><div class="stackCap">Coronal CECT in a trauma patient demonstrates a laceration <img src="arrow_WS.png"> extending through the superior aspect of the spleen with hematoma extending around the margins of the spleen <img src="arrow_WC.png">.</div></div>	Most likely diagnosis?	Splenic trauma with superior splenic laceration and perisplenic hematoma<br><br>Caption-derived keyword findings:<br>laceration<br>extending through the superior aspect of the spleen<br>hematoma extending around the margins of the spleen<br><br>Reasoning: A linear defect extending through splenic parenchyma plus hematoma tracking around the splenic margins fits the source-supported pattern of traumatic splenic laceration with perisplenic blood. The key discriminator from a benign cleft is adjacent traumatic hematoma.<br><br>Differential:<br>Splenic cleft<br>Splenic infarct<br>Splenic cyst																	
